URL	Status	Number of redirects	Redirect Chain	Final URL
https://rainbowresource.com/	200	n/a	n/a	n/a
http://www.rainbowresource.com/	302	1	http://www.rainbowresource.com/ | 	https://www.rainbowresource.com/
http://www.rainbowresource.com/category/4101/Exploring-the-Building-Blocks-of-Science-Book-K.html	302	1	http://www.rainbowresource.com/category/4101/Exploring-the-Building-Blocks-of-Science-Book-K.html | 	https://www.rainbowresource.com/category/4101/Exploring-the-Building-Blocks-of-Science-Book-K.html
http://www.rainbowresource.com/category/11572/Memoria-Press-Science.html	302	1	http://www.rainbowresource.com/category/11572/Memoria-Press-Science.html | 	https://www.rainbowresource.com/category/11572/Memoria-Press-Science.html
http://www.rainbowresource.com/category/5539/Layers-of-Learning-Year-3-Units.html	302	1	http://www.rainbowresource.com/category/5539/Layers-of-Learning-Year-3-Units.html | 	https://www.rainbowresource.com/category/5539/Layers-of-Learning-Year-3-Units.html
http://search.rainbowresource.com/	0	n/a	n/a	n/a
http://www.rainbowresource.com/category/1480/Classical-Poetry---Traditional-Poetry.html	302	1	http://www.rainbowresource.com/category/1480/Classical-Poetry---Traditional-Poetry.html | 	https://www.rainbowresource.com/category/1480/Classical-Poetry---Traditional-Poetry.html
http://www.rainbowresource.com/category/5677/Theory-for-Young-Musicians.html	302	1	http://www.rainbowresource.com/category/5677/Theory-for-Young-Musicians.html | 	https://www.rainbowresource.com/category/5677/Theory-for-Young-Musicians.html
http://www.rainbowresource.com/category/6066/Treasure-Island-Books.html	302	1	http://www.rainbowresource.com/category/6066/Treasure-Island-Books.html | 	https://www.rainbowresource.com/category/6066/Treasure-Island-Books.html
http://www.rainbowresource.com/category/8330/Focus-On...-Mathematics.html	302	1	http://www.rainbowresource.com/category/8330/Focus-On...-Mathematics.html | 	https://www.rainbowresource.com/category/8330/Focus-On...-Mathematics.html
http://www.rainbowresource.com/category/12271/Railway-Sets--and--Accessories.html	302	1	http://www.rainbowresource.com/category/12271/Railway-Sets--and--Accessories.html | 	https://www.rainbowresource.com/category/12271/Railway-Sets--and--Accessories.html
http://www.rainbowresource.com/category/3144/Everything-You-Need-to-Know-About-Flapbooks.html	302	1	http://www.rainbowresource.com/category/3144/Everything-You-Need-to-Know-About-Flapbooks.html | 	https://www.rainbowresource.com/category/3144/Everything-You-Need-to-Know-About-Flapbooks.html
http://www.rainbowresource.com/product/002344/Language-Arts-3-Lifepacs-Only.html	302	1	http://www.rainbowresource.com/product/002344/Language-Arts-3-Lifepacs-Only.html | 	https://www.rainbowresource.com/product/002344/Language-Arts-3-Lifepacs-Only.html
http://www.rainbowresource.com/category/13486/Math-Dictionaries-and-Reference-Books.html	302	1	http://www.rainbowresource.com/category/13486/Math-Dictionaries-and-Reference-Books.html | 	https://www.rainbowresource.com/category/13486/Math-Dictionaries-and-Reference-Books.html
http://www.rainbowresource.com/category/14231/Crayola-Twistable-Colored-Pencils.html	302	1	http://www.rainbowresource.com/category/14231/Crayola-Twistable-Colored-Pencils.html | 	https://www.rainbowresource.com/category/14231/Crayola-Twistable-Colored-Pencils.html
http://www.rainbowresource.com/category/6793/Saxon-Teacher.html	302	1	http://www.rainbowresource.com/category/6793/Saxon-Teacher.html | 	https://www.rainbowresource.com/category/6793/Saxon-Teacher.html
http://www.rainbowresource.com/category/1691/Latina-Christiana-3rd-Ed.-limited-quantities.html	302	1	http://www.rainbowresource.com/category/1691/Latina-Christiana-3rd-Ed.-limited-quantities.html | 	https://www.rainbowresource.com/category/1691/Latina-Christiana-3rd-Ed.-limited-quantities.html
http://www.rainbowresource.com/category/13906/21st-Century-Skills.html	302	1	http://www.rainbowresource.com/category/13906/21st-Century-Skills.html | 	https://www.rainbowresource.com/category/13906/21st-Century-Skills.html
http://www.rainbowresource.com/category/3841/Ward-Lesson-Plan-Books.html	302	1	http://www.rainbowresource.com/category/3841/Ward-Lesson-Plan-Books.html | 	https://www.rainbowresource.com/category/3841/Ward-Lesson-Plan-Books.html
http://www.rainbowresource.com/category/2416/Power-Practice-for-Math.html	302	1	http://www.rainbowresource.com/category/2416/Power-Practice-for-Math.html | 	https://www.rainbowresource.com/category/2416/Power-Practice-for-Math.html
http://www.rainbowresource.com/category/10844/Classic-Starts-Boxed-Sets.html	302	1	http://www.rainbowresource.com/category/10844/Classic-Starts-Boxed-Sets.html | 	https://www.rainbowresource.com/category/10844/Classic-Starts-Boxed-Sets.html
http://www.rainbowresource.com/category/6559/Writing-Skills-Series-Flash-Kids-Harcourt-Family-Learning.html	302	1	http://www.rainbowresource.com/category/6559/Writing-Skills-Series-Flash-Kids-Harcourt-Family-Learning.html | 	https://www.rainbowresource.com/category/6559/Writing-Skills-Series-Flash-Kids-Harcourt-Family-Learning.html
http://www.rainbowresource.com/category/14382/SAT-Reference-Charts.html	302	1	http://www.rainbowresource.com/category/14382/SAT-Reference-Charts.html | 	https://www.rainbowresource.com/category/14382/SAT-Reference-Charts.html
http://www.rainbowresource.com/category/13995/Color-and-Learn-Easy-Phrases-for-Kids.html	302	1	http://www.rainbowresource.com/category/13995/Color-and-Learn-Easy-Phrases-for-Kids.html | 	https://www.rainbowresource.com/category/13995/Color-and-Learn-Easy-Phrases-for-Kids.html
http://www.rainbowresource.com/category/14060/GlueTape-by-Glue-Dots.html	302	1	http://www.rainbowresource.com/category/14060/GlueTape-by-Glue-Dots.html | 	https://www.rainbowresource.com/category/14060/GlueTape-by-Glue-Dots.html
http://www.rainbowresource.com/category/1573/Insect-Informational-w--Hands-On-Activities.html	302	1	http://www.rainbowresource.com/category/1573/Insect-Informational-w--Hands-On-Activities.html | 	https://www.rainbowresource.com/category/1573/Insect-Informational-w--Hands-On-Activities.html
http://www.rainbowresource.com/category/5129/Great-Names---Artists.html	302	1	http://www.rainbowresource.com/category/5129/Great-Names---Artists.html | 	https://www.rainbowresource.com/category/5129/Great-Names---Artists.html
http://www.rainbowresource.com/category/7747/ABC-Felt-Wall-Hangings.html	302	1	http://www.rainbowresource.com/category/7747/ABC-Felt-Wall-Hangings.html | 	https://www.rainbowresource.com/category/7747/ABC-Felt-Wall-Hangings.html
http://www.rainbowresource.com/category/3676/COMPARATIVE-RELIGIONS.html	302	1	http://www.rainbowresource.com/category/3676/COMPARATIVE-RELIGIONS.html | 	https://www.rainbowresource.com/category/3676/COMPARATIVE-RELIGIONS.html
http://www.rainbowresource.com/category/5428/Blank-Puzzles-by-Compoz-a-Puzzle.html	302	1	http://www.rainbowresource.com/category/5428/Blank-Puzzles-by-Compoz-a-Puzzle.html | 	https://www.rainbowresource.com/category/5428/Blank-Puzzles-by-Compoz-a-Puzzle.html
http://www.rainbowresource.com/category/10039/Color-Theory.html	302	1	http://www.rainbowresource.com/category/10039/Color-Theory.html | 	https://www.rainbowresource.com/category/10039/Color-Theory.html
http://www.rainbowresource.com/category/8686/Alfreds-Basic-Piano-Course-Lesson-CDs.html	302	1	http://www.rainbowresource.com/category/8686/Alfreds-Basic-Piano-Course-Lesson-CDs.html | 	https://www.rainbowresource.com/category/8686/Alfreds-Basic-Piano-Course-Lesson-CDs.html
http://www.rainbowresource.com/category/2144/Be-the-Best.html	302	1	http://www.rainbowresource.com/category/2144/Be-the-Best.html | 	https://www.rainbowresource.com/category/2144/Be-the-Best.html
http://www.rainbowresource.com/category/8903/Modern-History-Portfolios.html	302	1	http://www.rainbowresource.com/category/8903/Modern-History-Portfolios.html | 	https://www.rainbowresource.com/category/8903/Modern-History-Portfolios.html
http://www.rainbowresource.com/category/6298/Childrens-Games.html	302	1	http://www.rainbowresource.com/category/6298/Childrens-Games.html | 	https://www.rainbowresource.com/category/6298/Childrens-Games.html
http://www.rainbowresource.com/category/6570/Zip-N-Go-Reusable-Envelope.html	302	1	http://www.rainbowresource.com/category/6570/Zip-N-Go-Reusable-Envelope.html | 	https://www.rainbowresource.com/category/6570/Zip-N-Go-Reusable-Envelope.html
http://www.rainbowresource.com/category/7636/Extreme-Dot-to-Dot-3-D-Books.html	302	1	http://www.rainbowresource.com/category/7636/Extreme-Dot-to-Dot-3-D-Books.html | 	https://www.rainbowresource.com/category/7636/Extreme-Dot-to-Dot-3-D-Books.html
http://www.rainbowresource.com/category/2676/Singapore-Science.html	302	1	http://www.rainbowresource.com/category/2676/Singapore-Science.html | 	https://www.rainbowresource.com/category/2676/Singapore-Science.html
